title;short_description;description;category;original_price;sale_price;regular_price;images;url
Moyra Aceton Free Polish Remover Vanilla 100ml;;;Moyra Vloeistoffen;;;5,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/9432f47ebe93d06ffe20e4ade810738471b589f8.jpg;https://www.nagelproduct.nl/a-55046051/moyra-vloeistoffen/moyra-aceton-free-polish-remover-vanilla-100ml/
Moyra Aceton Free Polish Remover Citron 100ml;;;Moyra Vloeistoffen;;;5,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/21e756d64e5e53ded0ef55350a6cc2f78fd1febb.jpg;https://www.nagelproduct.nl/a-55046050/moyra-vloeistoffen/moyra-aceton-free-polish-remover-citron-100ml/
Moyra Aceton Free Polish Remover Green Apple 100ml;;;Moyra Vloeistoffen;;;5,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/7b673cc5bb5692b55199d6fc76f07be7e9d19eca.jpg;https://www.nagelproduct.nl/a-55046052/moyra-vloeistoffen/moyra-aceton-free-polish-remover-green-apple-100ml/
Moyra Cleanser 500ml;Voor het styleren van acrylgel of het verwijderen van de plaklaag;<p>Voor het styleren van acrylgel of het verwijderen van de plaklaag</p>;Moyra Vloeistoffen;;;19,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/bdaf9a7f481ffd379be8da578cf941822a4dfe54.jpg;https://www.nagelproduct.nl/a-54998639/moyra-vloeistoffen/moyra-cleanser-500ml/
Moyra Cleanser 100ml;Voor het styleren van acrylgel of het verwijderen van de plaklaag;<p>Voor het styleren van acrylgel of het verwijderen van de plaklaag</p>;Moyra Vloeistoffen;;;5,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/bdaf9a7f481ffd379be8da578cf941822a4dfe54.jpg;https://www.nagelproduct.nl/a-54718502/moyra-vloeistoffen/moyra-cleanser-100ml/
Moyra Acid Free Primer;Acid free primer droogt aan de lucht en dient zeer zuinig aangebracht te worden op de natuurlijke nagel na de nail prep en/of acid base primer.;<p>Acid free primer droogt aan de lucht en dient zeer zuinig aangebracht te worden op de natuurlijke nagel na de nail prep en/of acid base primer.</p><p>Acid free primer geeft een perfecte hechting voor producten zoals acryl, gel, acrylgel en gelpolish.</p><p>Wacht enkele seconden voordat u uw product aan brengt.</p><p>Inhoud: 13ml</p>;Moyra Vloeistoffen;;;4,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/c77b882186be4bfed3325bdb1c1b787be6ea798a.jpg;https://www.nagelproduct.nl/a-54718500/moyra-vloeistoffen/moyra-acid-free-primer/
Moyra Acid Base Primer;Voor extreme liftingen bent u na de nail prep deze acid base primer nodig. LET OP: gebruik deze alleen bij extreme gevallen.;<p>Voor extreme liftingen bent u na de nail prep deze acid base primer nodig. LET OP: gebruik deze alleen bij extreme gevallen.</p><p>Acid base primer droogt aan de lucht en dient zeer zuinig aangebracht te worden op de natuurlijke nagel, wacht enkele seconden en doe erna de acid free primer op.</p><p>Inhoud: 13ml</p>;Moyra Vloeistoffen;;;4,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/c77b882186be4bfed3325bdb1c1b787be6ea798a.jpg;https://www.nagelproduct.nl/a-54892667/moyra-vloeistoffen/moyra-acid-base-primer/
Moyra Ridge Filler;Ridge Filler maakt de nagel mooier en gladder.;<p>Ridge Filler maakt de nagel mooier en gladder.</p><p> </p><p>Droogt aan de lucht en hoeft niet in de lamp uitgehard te worden.</p><p>Inhoud: 12ml</p>;Moyra Treatments;;;3,95;;https://www.nagelproduct.nl/a-55046003/moyra-treatments/moyra-ridge-filler/
Moyra Nail Spa Cuticle Balm;Romige textuur balsem, cuticula verzorging van zoete amandelolie te verzachten de huid, dankzij de inhoud ervan. Praktische presentatie zorgt voor gemakkelijk ecsetes.;<p>Romige textuur balsem, cuticula verzorging van zoete amandelolie te verzachten de huid, dankzij de inhoud ervan. Praktische presentatie zorgt voor gemakkelijk ecsetes.</p>;Moyra Treatments;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/a2c8777b4d712223f7d272267f0f3ce12d8d9847.jpg,https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/article/bb3e3d35e39d590a1946eeb68099bdea769f8fe1.jpg;https://www.nagelproduct.nl/a-56701507/moyra-treatments/moyra-nail-spa-cuticle-balm/
Moyra Glow in the Dark TopCoat;Een glow in the dark topcoat die melkachtig is.;<p>Een glow in the dark topcoat die melkachtig is.</p><p>Het grootste effect bereik je op een pure kleur.</p><p> </p><p>Droogt aan de lucht en hoeft niet in de lamp uitgehard te worden.</p><p>Inhoud: 12ml</p>;Moyra Treatments;;;3,95;https://cdn.myonlinestore.eu/93ee00cb-6be1-11e9-a722-44a8421b9960/image/cache/full/67897ac8609c71bcf53bfb39b4316c33a607685d.jpg;https://www.nagelproduct.nl/a-55046008/moyra-treatments/moyra-glow-in-the-dark-topcoat/
